customer_id,name,email,phone,registration_date,age,gender,location,country,customer_segment,preferred_category
CUST_000001,Allison Hill,donaldgarcia@example.net,+1-219-560-0133,2024-11-11,58,M,Robinsonshire,Fiji,Bronze,Books
CUST_000002,Abigail Shaffer,jpeterson@example.org,001-851-316-1559x40781,2024-07-14,33,M,Barbaraland,Aruba,Silver,Electronics
CUST_000003,Patricia Galloway,michellejames@example.com,+1-952-855-3419x2832,2023-12-21,61,Other,Lake Mark,Seychelles,Bronze,Sports
CUST_000004,Crystal Johnson,richard13@example.net,001-653-876-7242x388,2025-03-24,45,M,Coxberg,Malawi,Bronze,Electronics
CUST_000005,Peter Callahan Jr.,laurahenderson@example.org,(669)878-4801x8451,2023-09-30,31,M,Lake Nancyview,Macao,Bronze,Sports
CUST_000006,Katie Rodriguez,meagan89@example.org,(252)388-0957,2025-04-16,30,Other,Johnbury,Turkey,Platinum,Clothing
CUST_000007,Angela Dennis,spenceamanda@example.org,(578)624-8963,2024-03-24,46,Other,Samuelhaven,Korea,Gold,Electronics
CUST_000008,Danny Morgan,briannasmith@example.net,+1-403-910-5183x4738,2023-12-01,66,M,Aguirreborough,Bhutan,Platinum,Books
CUST_000009,Jeffrey Henderson,dshields@example.net,+1-410-665-1333x8726,2024-05-10,35,M,South Lindseyside,Bolivia,Silver,Books
CUST_000010,Zachary Huff,housemelinda@example.org,(977)436-0260x64746,2023-10-23,24,M,North Beth,Mauritius,Platinum,Electronics
CUST_000011,Erik Williams,hshaw@example.org,3815219136,2024-08-03,40,F,New Christophershire,Mongolia,Gold,Electronics
CUST_000012,Taylor Harris,john62@example.net,+1-647-451-0799x1183,2025-04-19,64,F,East Mikeburgh,Kazakhstan,Bronze,Home
CUST_000013,Michele Carr,contrerasangela@example.net,524-711-8244,2023-11-02,23,Other,Williamview,United Kingdom,Gold,Sports
CUST_000014,Amber Walters,bradley52@example.net,727-486-8011x280,2024-04-16,74,F,West Michaelton,United Arab Emirates,Silver,Electronics
CUST_000015,Michael Estrada,kimberly69@example.net,(532)626-0256,2023-10-01,20,Other,South Monicafort,Cyprus,Silver,Books
CUST_000016,Thomas Bailey,jeffreykeller@example.com,641-245-8685x01429,2023-08-25,23,M,Reedmouth,Jordan,Bronze,Home
CUST_000017,Kayla Cruz,jonathanfletcher@example.org,783.856.1595x14846,2024-10-28,35,F,East Robert,Wallis and Futuna,Gold,Clothing
CUST_000018,Paul Thompson,richard04@example.com,969.495.7773,2024-09-30,41,F,Zacharymouth,Bermuda,Silver,Books
CUST_000019,Nicole Chambers,lindsayhernandez@example.org,979.817.6936,2023-12-02,62,Other,Port Michelleville,Slovakia (Slovak Republic),Bronze,Sports
CUST_000020,Christopher Rubio,pwilliams@example.org,927.488.9579x868,2024-12-01,58,M,Colebury,Tajikistan,Silver,Clothing
CUST_000021,Pamela Boyd,joshuajones@example.com,845.458.1223,2024-11-04,47,F,South Rickside,Lao People's Democratic Republic,Gold,Sports
CUST_000022,Daniel Fisher,gateskathy@example.com,805.946.6889x3734,2023-06-28,32,Other,Elizabethfurt,Saint Kitts and Nevis,Gold,Electronics
CUST_000023,John Anderson,meadowsbrittany@example.net,7165272046,2024-05-04,32,M,Kathleenfurt,Fiji,Gold,Home
CUST_000024,Sandra King,ruizkaitlyn@example.org,(931)300-3309x232,2024-07-23,35,M,South Holly,Seychelles,Silver,Sports
CUST_000025,Larry Stuart,stricklandfrank@example.com,590-349-6631,2024-10-28,74,Other,Melissaville,South Africa,Gold,Clothing
CUST_000026,Dr. Hannah Patterson,casey50@example.com,916.857.2628x4987,2025-01-30,59,F,Marcusbury,Switzerland,Platinum,Home
CUST_000027,Diana Hayes,qhudson@example.com,207-552-7354x54948,2023-08-08,27,F,Freemanbury,Portugal,Silver,Clothing
CUST_000028,Michael West,davisjeffrey@example.net,749.757.8856,2024-11-01,65,Other,Kristopherbury,British Indian Ocean Territory (Chagos Archipelago),Gold,Sports
CUST_000029,Emily Newton,jamesrodgers@example.com,001-498-694-1343x5240,2023-07-10,45,Other,New Kellyberg,Northern Mariana Islands,Platinum,Books
CUST_000030,Katherine Salas,taylor75@example.org,2474116719,2023-09-24,32,M,Christopherbury,British Indian Ocean Territory (Chagos Archipelago),Platinum,Electronics
CUST_000031,Jennifer Carlson,kimberlyjames@example.com,496-549-9091x3341,2023-10-12,66,M,East Aaronmouth,Portugal,Bronze,Clothing
CUST_000032,Doris Hall,jacqueline71@example.net,649.436.1832,2023-07-29,58,M,Port Kyle,San Marino,Platinum,Sports
