order_id,customer_id,order_date,order_status,payment_method,shipping_address,total_amount
ORD_00000001,CUST_000022,2024-10-10,Cancelled,Credit Card,"63325 Michele Gardens
Gonzalezmouth, NH 96786",5725.87
ORD_00000002,CUST_000862,2024-10-13,Pending,Debit Card,"0702 Johnson Stravenue Suite 660
Johnstonstad, AK 68082",5649.6
ORD_00000003,CUST_000260,2025-05-14,Cancelled,Bank Transfer,"06896 Reed Vista Apt. 264
Nelsonville, SD 93449",2931.75
ORD_00000004,CUST_000317,2024-09-09,Shipped,Credit Card,"43968 Robertson Fords Suite 960
North Nicoleside, TN 90468",7356.15
ORD_00000005,CUST_000548,2024-08-01,Processing,Bank Transfer,"PSC 7163, Box 8819
APO AE 93683",5238.98
ORD_00000006,CUST_000398,2025-02-08,Pending,Bank Transfer,"1918 Angelica Walks
New Amandaberg, CT 54675",975.66
ORD_00000007,CUST_000950,2024-10-05,Shipped,PayPal,"5760 William Pike
Marquezmouth, WA 16901",4759.22
ORD_00000008,CUST_000093,2024-07-22,Processing,PayPal,"2893 William Underpass
Brennanmouth, WY 98734",2107.52
ORD_00000009,CUST_000216,2024-07-05,Processing,Bank Transfer,"USNS Jones
FPO AE 81017",2956.06
ORD_00000010,CUST_000647,2025-03-13,Shipped,Bank Transfer,"313 Taylor Underpass Suite 625
Christinafort, NE 86908",841.84
ORD_00000011,CUST_000809,2024-10-19,Pending,PayPal,"6651 Lewis Creek
Jacksonville, WI 43717",4468.89
ORD_00000012,CUST_000888,2024-09-06,Pending,Bank Transfer,"81341 Kristen Burg Apt. 346
Lake Thomasshire, MT 83692",4207.33
ORD_00000013,CUST_000483,2025-05-23,Delivered,PayPal,"4654 Ryan Crescent Suite 398
North Katherine, MH 43744",2491.53
ORD_00000014,CUST_000735,2025-05-03,Delivered,Credit Card,"4050 Kayla Junctions Apt. 346
Brianchester, MD 91374",1146.4
ORD_00000015,CUST_000845,2024-11-06,Processing,PayPal,"387 Carter Overpass Apt. 341
West Julie, SD 68479",806.74
ORD_00000016,CUST_000519,2025-04-07,Pending,PayPal,"PSC 3410, Box 6572
APO AP 96227",752.44
ORD_00000017,CUST_000431,2025-02-26,Cancelled,PayPal,"Unit 7665 Box 6206
DPO AA 83308",6412.28
ORD_00000018,CUST_000465,2024-06-24,Pending,Credit Card,"67774 Bradford Bypass
Jamesfort, MH 16492",1581.99
